Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
22,41,45,2010,Malheur County,OR,9.7,41,45,OR,Malheur,11068,39.5,32412,51,20,31,50,31349,16948,14401,15621,13454,334,96,350,242,298,269,27,28,318,312,5372,4564,,,,,,,,,,,2010-OR-Malheur,13.8
23,41,47,2010,Marion County,OR,11.2,41,47,OR,Marion,55030,17.9,44725,336,85,251,50,315948,157398,158550,141781,143658,2580,1589,4040,3692,2972,3572,1282,1229,4743,4810,40621,36381,,,,,,,,,,,2010-OR-Marion,20.9
24,41,49,2010,Morrow County,OR,9.4,41,49,OR,Morrow,1866,16.7,45652,27,27,0,50,11207,5769,5438,5437,5139,51,31,103,86,42,66,11,13,125,103,1883,1643,11,1,3,1,6,122,17,100,5,1,2010-OR-Morrow,11.5
25,41,51,2010,Multnomah County,OR,9.8,41,51,OR,Multnomah,130620,18,48018,750,95,655,50,737320,364584,372736,296872,301551,21762,21477,5873,5349,22798,26402,2177,2145,15102,15812,42359,38006,81,0,3,21,57,1015,120,835,60,2,2010-OR-Multnomah,37.5
26,41,53,2010,Polk County,OR,9.8,41,53,OR,Polk,11555,15.7,49504,64,47,17,50,75540,36756,38784,33440,35478,283,172,973,925,674,825,141,125,1245,1259,4791,4362,47,2,7,1,37,261,71,173,17,3,2010-OR-Polk,28.1
27,41,55,2010,Sherman County,OR,11.9,41,55,OR,Sherman,242,13.7,49295,7,6,1,50,1779,908,871,877,841,1,3,18,16,1,2,1,0,10,9,58,43,0,0,0,0,0,45,3,39,3,0,2010-OR-Sherman,15.4
28,41,57,2010,Tillamook County,OR,10.5,41,57,OR,Tillamook,3972,16,40797,60,56,4,50,25243,12741,12502,12100,11892,68,28,171,148,96,139,28,33,278,262,1234,1062,8,2,1,2,3,293,90,179,24,0,2010-OR-Tillamook,20
29,41,59,2010,Umatilla County,OR,10.4,41,59,OR,Umatilla,11172,15.5,43691,74,49,25,50,76093,39630,36463,36160,33382,554,187,1623,1580,371,406,62,70,860,838,9918,8373,62,1,6,4,51,411,119,249,43,2,2010-OR-Umatilla,14.6
30,41,61,2010,Union County,OR,10.4,41,61,OR,Union,4182,16.7,41192,11,9,2,50,25725,12676,13049,11934,12340,99,47,156,147,97,135,127,116,263,264,519,505,10,0,0,0,10,175,44,124,7,3,2010-OR-Union,20.3
31,41,63,2010,Wallowa County,OR,13,41,63,OR,Wallowa,1147,16.6,38522,13,7,6,50,7012,3434,3578,3330,3444,15,14,23,26,7,16,3,4,56,74,81,82,,,,,,,,,,,2010-OR-Wallowa,21.1
32,41,65,2010,Wasco County,OR,9.6,41,65,OR,Wasco,3887,15.7,41711,29,14,15,50,25282,12533,12749,11412,11657,68,51,614,589,85,121,78,86,276,245,2014,1782,3,1,0,1,1,171,51,107,13,1,2010-OR-Wasco,21.5
33,41,67,2010,Washington County,OR,9,41,67,OR,Washington,50895,9.7,60555,539,240,299,50,531652,261480,270172,219214,226110,5910,4793,3006,2906,22196,25081,1385,1337,9769,9945,43360,40337,267,2,73,33,159,2509,515,1824,170,29,2010-OR-Washington,38.9
34,41,69,2010,Wheeler County,OR,9.6,41,69,OR,Wheeler,283,19.8,31983,14,3,11,50,1449,724,725,692,680,0,0,12,9,3,5,0,3,17,28,48,19,,,,,,,,,,,2010-OR-Wheeler,18.2
35,41,71,2010,Yamhill County,OR,10.5,41,71,OR,Yamhill,13818,14.7,50288,96,45,51,50,99298,49857,49441,45799,45982,711,297,1096,887,732,850,144,55,1375,1370,8103,6524,25,0,3,1,21,569,137,398,34,10,2010-OR-Yamhill,23
36,41,1,2011,Baker County,OR,11,41,1,OR,Baker,3117,20,36877,31,11,20,50,16069,8089,7980,7730,7620,44,25,97,108,35,53,4,5,179,169,282,305,2,0,2,0,0,30,15,14,1,0,2011-OR-Baker,19.8
37,41,3,2011,Benton County,OR,6.5,41,3,OR,Benton,17703,21.8,46272,75,62,13,50,86281,43239,43042,38261,38346,511,373,397,386,2520,2376,118,104,1432,1457,2899,2708,20,3,3,0,14,200,56,132,12,2,2011-OR-Benton,47.4
38,41,5,2011,Clackamas County,OR,8.9,41,5,OR,Clackamas,41457,11,58496,426,218,208,50,379640,186599,193041,170134,175443,1934,1576,1993,2012,6580,8059,545,485,5413,5466,15523,14486,202,3,35,96,68,5492,891,4228,373,22,2011-OR-Clackamas,31.6
39,41,7,2011,Clatsop County,OR,9.5,41,7,OR,Clatsop,6804,18.6,43544,55,26,29,50,37241,18485,18756,17348,17591,136,123,234,215,202,297,56,50,509,480,1519,1379,7,0,0,0,7,134,26,98,10,2,2011-OR-Clatsop,22.1
40,41,9,2011,Columbia County,OR,11.4,41,9,OR,Columbia,6020,12.3,55646,41,35,6,50,49408,24738,24670,23211,23064,139,96,357,345,167,326,57,53,807,786,1091,1018,,,,,,,,,,,2011-OR-Columbia,16.8
41,41,11,2011,Coos County,OR,11.7,41,11,OR,Coos,12213,19.8,36567,85,24,61,50,62789,30908,31881,28292,29073,167,112,856,905,276,445,63,73,1254,1273,1797,1739,57,2,1,3,51,589,187,364,38,2,2011-OR-Coos,18.5
42,41,13,2011,Crook County,OR,14.4,41,13,OR,Crook,3840,18.6,37473,28,15,13,50,20640,10264,10376,9848,9909,30,24,142,164,45,77,6,5,193,197,787,705,22,0,2,2,18,125,47,77,1,3,2011-OR-Crook,15.7
43,41,15,2011,Curry County,OR,12.1,41,15,OR,Curry,3973,17.9,39958,36,13,23,50,22497,11050,11447,10340,10668,51,27,221,234,58,121,12,10,368,387,693,617,8,0,0,1,7,231,69,145,17,0,2011-OR-Curry,19.6
44,41,17,2011,Deschutes County,OR,12.4,41,17,OR,Deschutes,21999,13.8,47924,210,82,128,50,159683,78796,80887,75039,76765,372,278,873,903,604,971,117,116,1791,1854,5931,6062,240,1,14,6,219,982,203,734,45,8,2011-OR-Deschutes,29.8
45,41,19,2011,Douglas County,OR,12.8,41,19,OR,Douglas,19227,18.1,38196,144,112,32,50,107257,52931,54326,49561,50764,212,154,1032,1016,455,648,64,68,1607,1676,2561,2540,35,1,19,2,13,558,160,345,53,15,2011-OR-Douglas,15.7
46,41,21,2011,Gilliam County,OR,9.8,41,21,OR,Gilliam,226,11.8,49378,7,6,1,50,1950,1008,942,967,905,2,1,15,5,3,3,5,8,16,20,58,52,0,0,0,0,0,16,4,12,0,0,2011-OR-Gilliam,18.1
47,41,23,2011,Grant County,OR,13.9,41,23,OR,Grant,1253,17.2,37191,16,5,11,50,7409,3683,3726,3512,3557,12,4,57,45,12,15,2,6,88,99,114,117,0,0,0,0,0,40,3,36,1,0,2011-OR-Grant,17
48,41,25,2011,Harney County,OR,13.4,41,25,OR,Harney,1350,18.6,35141,17,11,6,50,7363,3744,3619,3484,3354,14,10,125,131,10,22,0,1,111,101,161,150,7,0,0,0,7,27,12,14,1,0,2011-OR-Harney,16.4
