Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
22,53,45,2010,Mason County,WA,10.8,53,45,WA,Mason,9280,16,46062,64,48,16,50,60733,31413,29320,27976,26213,510,192,1414,1192,280,482,121,122,1112,1119,2795,2071,108,1,24,20,63,1705,542,939,224,5,2010-WA-Mason,17.9
23,53,47,2010,Okanogan County,WA,9.7,53,47,WA,Okanogan,8943,22,35682,33,28,5,50,41224,20804,20420,17405,17023,109,88,2542,2503,124,179,45,34,579,593,3978,3325,33,1,4,5,23,351,114,192,45,2,2010-WA-Okanogan,17.7
24,53,49,2010,Pacific County,WA,12.7,53,49,WA,Pacific,3696,17.9,37832,21,18,3,50,20879,10471,10408,9538,9528,76,58,274,278,217,220,7,13,359,311,948,746,22,0,4,3,15,439,189,225,25,5,2010-WA-Pacific,16.8
25,53,51,2010,Pend Oreille County,WA,13.9,53,51,WA,Pend Oreille,2427,18.9,39035,20,17,3,50,12950,6553,6397,6046,5895,36,22,267,242,24,53,7,9,173,176,198,199,16,0,0,0,16,422,140,243,39,2,2010-WA-Pend Oreille,17.9
26,53,53,2010,Pierce County,WA,9.5,53,53,WA,Pierce,95688,12.3,56446,359,301,58,50,795402,393038,402364,305275,309889,29854,26379,6471,6450,20889,28184,5502,5627,25047,25835,37608,35481,1134,10,101,263,760,9533,3180,5174,1179,52,2010-WA-Pierce,23.4
27,53,55,2010,San Juan County,WA,6.6,53,55,WA,San Juan,1845,11.8,50836,31,19,12,50,15783,7662,8121,7322,7711,37,32,61,67,55,132,4,10,183,169,451,418,14,0,4,0,10,187,68,107,12,5,2010-WA-San Juan,44.9
28,53,57,2010,Skagit County,WA,9.9,53,57,WA,Skagit,15012,13,54600,105,54,51,50,116939,57997,58942,53187,54010,570,393,1546,1602,990,1249,156,127,1548,1561,10147,9672,116,0,25,13,78,1443,490,878,75,12,2010-WA-Skagit,23.2
29,53,59,2010,Skamania County,WA,11.6,53,59,WA,Skamania,1530,13.8,47804,26,22,4,50,11115,5600,5515,5299,5160,27,20,86,105,37,63,2,9,149,158,303,259,10,0,2,0,8,222,45,157,20,0,2010-WA-Skamania,19.7
30,53,61,2010,Snohomish County,WA,9.9,53,61,WA,Snohomish,70226,10,63391,342,277,65,50,715522,357946,357576,294196,292301,11041,8266,5525,5625,30427,34864,1831,1627,14926,14893,34026,30597,487,4,77,98,308,5445,1772,2979,694,39,2010-WA-Snohomish,28.2
31,53,63,2010,Spokane County,WA,9.1,53,63,WA,Spokane,67272,14.7,46881,187,133,54,50,472102,233115,238987,210435,216534,5083,3241,3830,4018,4535,5810,1006,1039,8226,8345,11024,10468,155,3,14,29,109,3834,1181,2298,355,6,2010-WA-Spokane,27.9
32,53,65,2010,Stevens County,WA,11.9,53,65,WA,Stevens,7509,17.4,41147,31,26,5,50,43472,21738,21734,19609,19570,82,70,1272,1198,72,177,35,43,668,676,571,627,46,0,20,4,22,818,349,380,89,1,2010-WA-Stevens,19.2
33,53,67,2010,Thurston County,WA,8.1,53,67,WA,Thurston,26767,10.7,60672,102,82,20,50,253011,123387,129624,104605,109408,3999,3094,1965,1965,5745,7766,1074,1012,5999,6379,9228,8803,335,4,25,27,279,2935,1115,1682,138,27,2010-WA-Thurston,31.6
34,53,69,2010,Wahkiakum County,WA,13.9,53,69,WA,Wahkiakum,541,13.8,44740,16,7,9,50,3983,1997,1986,1901,1870,8,4,32,25,5,19,4,2,47,66,51,65,2,0,1,0,1,31,10,18,3,0,2010-WA-Wahkiakum,15.3
35,53,71,2010,Walla Walla County,WA,7.2,53,71,WA,Walla Walla,8564,15.7,43119,33,27,6,50,58915,29909,29006,27443,27139,926,246,418,339,351,505,102,84,669,693,6052,5613,31,1,10,2,18,342,117,209,16,0,2010-WA-Walla Walla,24.2
36,53,73,2010,Whatcom County,WA,8.6,53,73,WA,Whatcom,28328,14.4,49999,102,83,19,50,201549,99800,101749,88231,89962,1310,868,3230,3079,3359,4056,295,290,3375,3494,8230,7681,126,2,28,16,80,1355,501,765,89,6,2010-WA-Whatcom,31.7
37,53,75,2010,Whitman County,WA,6.1,53,75,WA,Whitman,9481,24.4,39251,22,18,4,50,44795,22801,21994,19583,18817,445,351,167,166,1798,1755,66,59,742,846,1036,1041,5,1,1,1,2,127,44,73,10,1,2010-WA-Whitman,47.4
38,53,77,2010,Yakima County,WA,9.6,53,77,WA,Yakima,57612,23.9,40503,93,66,27,50,244249,122185,122064,108391,108454,1818,1445,7054,6940,1502,1739,243,218,3177,3268,56818,53596,128,4,24,29,71,2357,1115,933,309,28,2010-WA-Yakima,15.6
39,53,1,2011,Adams County,WA,9.1,53,1,WA,Adams,3747,20,40675,27,17,10,50,18876,9628,9248,8837,8514,132,89,426,414,94,112,7,3,132,116,5888,5482,,,,,,,,,,,2011-WA-Adams,12.5
40,53,3,2011,Asotin County,WA,8,53,3,WA,Asotin,3732,17.2,41864,14,12,2,50,21984,10572,11412,10062,10819,59,48,153,181,55,102,18,23,225,239,351,361,18,0,0,0,18,215,45,160,10,0,2011-WA-Asotin,15.9
41,53,5,2011,Benton County,WA,7.3,53,5,WA,Benton,20878,11.7,61539,71,60,11,50,180449,90378,90071,82727,82479,1512,1182,1105,1016,2482,2845,179,162,2373,2387,17509,16598,64,0,10,8,46,645,231,350,64,6,2011-WA-Benton,27.7
42,53,7,2011,Chelan County,WA,7.6,53,7,WA,Chelan,11507,15.9,48458,64,53,11,50,73213,36463,36750,34487,34729,241,209,635,607,306,410,94,67,700,728,10185,9272,36,3,8,3,22,667,189,432,46,2,2011-WA-Chelan,23
43,53,9,2011,Clallam County,WA,9.9,53,9,WA,Clallam,9248,13.2,47903,43,35,8,50,71778,35617,36161,31354,32059,506,178,2011,1922,402,657,59,55,1285,1290,2043,1775,59,0,8,3,48,850,255,534,61,7,2011-WA-Clallam,24.3
44,53,11,2011,Clark County,WA,10.5,53,11,WA,Clark,58684,13.7,56750,210,132,78,50,432388,213553,218835,188284,192678,4952,4164,2299,2147,8589,10109,1543,1516,7886,8221,17225,16504,248,2,48,65,133,3853,924,2525,404,27,2011-WA-Clark,25.8
45,53,13,2011,Columbia County,WA,8.4,53,13,WA,Columbia,595,14.9,42463,9,8,1,50,4005,1993,2012,1885,1903,12,4,30,34,14,17,8,8,44,46,120,126,7,0,1,0,6,179,42,132,5,0,2011-WA-Columbia,18
46,53,15,2011,Cowlitz County,WA,10.7,53,15,WA,Cowlitz,19636,19.5,43611,53,43,10,50,102313,50559,51754,46678,47755,460,310,986,956,672,927,163,167,1600,1639,4322,3872,78,1,36,4,37,501,189,275,37,11,2011-WA-Cowlitz,15
47,53,17,2011,Douglas County,WA,8.5,53,17,WA,Douglas,6718,17.4,47958,34,27,7,50,38660,19413,19247,18272,18143,142,100,373,364,151,223,49,42,426,375,5898,5315,22,1,7,1,13,399,131,239,29,0,2011-WA-Douglas,17.6
48,53,19,2011,Ferry County,WA,15.8,53,19,WA,Ferry,1637,21.6,34543,22,7,15,50,7641,3955,3686,3048,2831,19,10,669,627,26,43,4,6,189,169,151,118,2,0,0,0,2,25,12,12,1,0,2011-WA-Ferry,15.5
49,53,21,2011,Franklin County,WA,8.1,53,21,WA,Franklin,19400,24.2,48904,27,25,2,50,83048,43263,39785,39451,36490,1299,789,652,529,821,894,175,149,865,934,21928,20287,24,0,4,2,18,168,53,102,13,3,2011-WA-Franklin,15.1
50,53,23,2011,Garfield County,WA,6.8,53,23,WA,Garfield,294,13.2,46302,15,7,8,50,2237,1095,1142,1056,1086,0,1,3,4,16,25,0,0,20,26,53,46,4,0,1,0,3,62,13,47,2,1,2011-WA-Garfield,20.6
